Unnamed: 0,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,1,2020-01-30,6:00 PM,kerala,1,0,0,0,1
1,2,2020-01-31,6:00 PM,kerala,1,0,0,0,1
2,3,2020-01-02,6:00 PM,kerala,2,0,0,0,2
3,4,2020-02-02,6:00 PM,kerala,3,0,0,0,3
4,5,2020-03-02,6:00 PM,kerala,3,0,0,0,3
5,6,2020-04-02,6:00 PM,kerala,3,0,0,0,3
6,7,2020-05-02,6:00 PM,kerala,3,0,0,0,3
7,8,2020-06-02,6:00 PM,kerala,3,0,0,0,3
8,9,2020-07-02,6:00 PM,kerala,3,0,0,0,3
9,10,2020-08-02,6:00 PM,kerala,3,0,0,0,3
10,11,2020-09-02,6:00 PM,kerala,3,0,0,0,3
11,12,2020-10-02,6:00 PM,kerala,3,0,0,0,3
12,13,2020-11-02,6:00 PM,kerala,3,0,0,0,3
13,14,2020-12-02,6:00 PM,kerala,3,0,0,0,3
14,15,2020-02-13,6:00 PM,kerala,3,0,0,0,3
15,16,2020-02-14,6:00 PM,kerala,3,0,0,0,3
16,17,2020-02-15,6:00 PM,kerala,3,0,0,0,3
17,18,2020-02-16,6:00 PM,kerala,3,0,0,0,3
18,19,2020-02-17,6:00 PM,kerala,3,0,0,0,3
19,20,2020-02-18,6:00 PM,kerala,3,0,0,0,3
20,21,2020-02-19,6:00 PM,kerala,3,0,0,0,3
21,22,2020-02-20,6:00 PM,kerala,3,0,0,0,3
22,23,2020-02-21,6:00 PM,kerala,3,0,0,0,3
23,24,2020-02-22,6:00 PM,kerala,3,0,0,0,3
24,25,2020-02-23,6:00 PM,kerala,3,0,0,0,3
25,26,2020-02-24,6:00 PM,kerala,3,0,0,0,3
26,27,2020-02-25,6:00 PM,kerala,3,0,0,0,3
27,28,2020-02-26,6:00 PM,kerala,3,0,0,0,3
28,29,2020-02-27,6:00 PM,kerala,3,0,0,0,3
29,30,2020-02-28,6:00 PM,kerala,3,0,0,0,3
30,31,2020-02-29,6:00 PM,kerala,3,0,0,0,3
31,32,2020-01-03,6:00 PM,kerala,3,0,0,0,3
32,33,2020-02-03,6:00 PM,telengana,1,0,0,0,1
33,34,2020-02-03,6:00 PM,kerala,3,0,0,0,3
34,35,2020-02-03,6:00 PM,delhi,1,0,0,0,1
35,36,2020-03-03,6:00 PM,telengana,1,0,0,0,1
36,37,2020-03-03,6:00 PM,rajasthan,0,1,0,0,1
37,38,2020-03-03,6:00 PM,kerala,3,0,3,0,3
38,39,2020-03-03,6:00 PM,delhi,1,0,0,0,1
39,40,2020-04-03,6:00 PM,uttar pradesh,6,0,0,0,6
40,41,2020-04-03,6:00 PM,kerala,3,0,3,0,3
41,42,2020-04-03,6:00 PM,haryana,0,2,0,0,2
42,43,2020-04-03,6:00 PM,delhi,1,0,0,0,1
43,44,2020-04-03,6:00 PM,telengana,1,0,0,0,1
44,45,2020-04-03,6:00 PM,rajasthan,1,14,0,0,15
45,46,2020-05-03,6:00 PM,delhi,2,0,0,0,2
46,47,2020-05-03,6:00 PM,haryana,0,2,0,0,2
47,48,2020-05-03,6:00 PM,kerala,3,0,3,0,3
48,49,2020-05-03,6:00 PM,rajasthan,1,14,0,0,15
49,50,2020-05-03,6:00 PM,telengana,1,0,0,0,1
50,51,2020-05-03,6:00 PM,uttar pradesh,7,0,0,0,7
51,52,2020-06-03,6:00 PM,delhi,3,0,0,0,3
52,53,2020-06-03,6:00 PM,haryana,0,2,0,0,2
53,54,2020-06-03,6:00 PM,kerala,3,0,3,0,3
54,55,2020-06-03,6:00 PM,rajasthan,1,14,0,0,15
55,56,2020-06-03,6:00 PM,uttar pradesh,7,0,0,0,7
56,57,2020-06-03,6:00 PM,telengana,1,0,0,0,1
57,58,2020-07-03,6:00 PM,kerala,3,0,3,0,3
58,59,2020-07-03,6:00 PM,uttar pradesh,7,0,0,0,7
59,60,2020-07-03,6:00 PM,ladakh,2,0,0,0,2
60,61,2020-07-03,6:00 PM,telengana,1,0,0,0,1
61,62,2020-07-03,6:00 PM,tamil nadu,1,0,0,0,1
62,63,2020-07-03,6:00 PM,delhi,3,0,0,0,3
63,64,2020-07-03,6:00 PM,haryana,0,2,0,0,2
64,65,2020-07-03,6:00 PM,rajasthan,1,14,0,0,15
65,66,2020-08-03,6:00 PM,ladakh,2,0,0,0,2
66,67,2020-08-03,6:00 PM,telengana,1,0,0,0,1
67,68,2020-08-03,6:00 PM,tamil nadu,1,0,0,0,1
68,69,2020-08-03,6:00 PM,rajasthan,1,14,0,0,15
69,70,2020-08-03,6:00 PM,kerala,8,0,3,0,8
70,71,2020-08-03,6:00 PM,haryana,0,2,0,0,2
71,72,2020-08-03,6:00 PM,delhi,3,0,0,0,3
72,73,2020-08-03,6:00 PM,uttar pradesh,7,0,0,0,7
73,74,2020-09-03,6:00 PM,ladakh,2,0,0,0,2
74,75,2020-09-03,6:00 PM,karnataka,1,0,0,0,1
75,76,2020-09-03,6:00 PM,kerala,9,0,3,0,9
